prompt,context,response,emotionally_supportive,supportive_actual
Bombed the presentation. Feeling terrified of failing the class.,Terrified,i am glad you are okay ,1,1
Aced a difficult exam! Feeling joyful and proud.,Joyful,i know_comma_ i felt so bad for the first time ,1,1
Feeling lonely and isolated in my dorm.,Lonely,i am sorry to hear that ,1,1
Grateful for the support of my friends.,Grateful,i am sure you will be happy for the best ,1,1
Feeling disgusted by a mess someone left in the shared kitchen.,Disgusted,can not even if i found a hair in it ,1,1
Feeling excited about the upcoming semester.,Excited,i am excited for the new super smash bros ,1,1
Didn't study enough for an upcoming exam. Feeling unprepared.,Unprepared,i was so nervous and ready to get my grades back ,1,1
Feeling jealous of a classmate's perfect grades.,Jealous,i am sure you will be fine ,1,1
Feeling anxious about a group project presentation.,Anxious,i am sure you will be getting it ,1,1
Feeling content after finishing a long study session.,Content,i am feeling very happy and relieved to go to the pharmacy to start ,0,1
Feeling disappointed about a bad grade on a paper.,Disappointed,i am sure you will have a good time ,1,1
Professor complimented my participation in class. Feeling proud.,Proud,i am happy for you ,1,1
Feeling overwhelmed with the workload this semester.,Stressed,i am sure you will be fine ,1,1
Lost my student ID. Feeling frustrated and worried.,Frustrated,how much did you get ,0,1
Feeling hopeful about the future after a successful internship.,Hopeful,i hope so i think i will get the job ,0,1
Feeling apprehensive about meeting my professor's office hours.,Apprehensive,i am sure you will be fine ,1,1
Feeling guilty about procrastinating on an assignment.,Guilty,i feel so bad about myself ,0,1
Feeling surprised by a surprise quiz in class.,Surprised,i was shocked by a friend of mine recently ,1,1
Feeling nostalgic about memories from high school.,Nostalgic,i was feeling good about my childhood and high school ,1,1
Feeling confident about my upcoming presentation.,Confident,i am sure you will do great ,1,1
Feeling furious about a professor's unfair grading policy.,Furious,i dont know why they are just being rude and they are just rude to the <OUT> ,1,1
Feeling disappointed after a friend cancels plans.,Disappointed,i am going to be a bit more <OUT> but i am stuck at work ,0,1
Feeling caring towards a classmate who is struggling.,Caring,that is awesome i wish i could be more than a year ,1,1
Feeling trusting towards my professor's guidance.,Trusting,i am glad you are okay ,1,1
Feeling disgusted by a rude comment from a classmate.,Disgusted,what kind of food do you have ,1,1
Feeling apprehensive about starting a new class.,Apprehensive,i am sure you will be fine ,1,1
Feeling anxious about making new friends on campus.,Anxious,i am sure you will be fine ,1,1
Feeling hopeful about my chances of getting a scholarship.,Hopeful,i am sure you will be proud of your future ,1,1
Feeling content with my decision to major in this subject.,Content,that is great to hear ,1,1
Feeling impressed by a classmate's insightful presentation.,Impressed,that is great i bet she is doing better ,1,1
Feeling frustrated about a technical issue during an online exam.,Frustrated,i am sure it was a good thing ,1,1
Feeling devastated after a close friend moves away.,Devastated,that is sad i am sorry to hear that ,1,1
Bombed the presentation. Feeling terrified of failing the class.,Terrified,i am glad you are okay ,1,1
Aced a difficult exam! Feeling joyful and proud.,Joyful,i know_comma_ i felt so bad for the first time ,1,1
Feeling lonely and isolated in my dorm.,Lonely,i am sorry to hear that ,1,1
Grateful for the support of my friends.,Grateful,i am sure you will be happy for the best ,1,1
Feeling disgusted by a mess someone left in the shared kitchen.,Disgusted,can not even if i found a hair in it ,0,1
Feeling excited about the upcoming semester.,Excited,i am excited for the new super smash bros ,1,1
Didn't study enough for an upcoming exam. Feeling unprepared.,Unprepared,i was so nervous and ready to get my grades back ,1,1
Feeling jealous of a classmate's perfect grades.,Jealous,i am sure you will be fine ,1,1
Feeling anxious about a group project presentation.,Anxious,i am sure you will be getting it ,1,1
Feeling content after finishing a long study session.,Content,i am feeling very happy and relieved to go to the pharmacy to start ,0,1
Feeling disappointed about a bad grade on a paper.,Disappointed,i am sure you will have a good time ,1,1
Professor complimented my participation in class. Feeling proud.,Proud,i am happy for you ,1,1
Feeling overwhelmed with the workload this semester.,Stressed,i am sure you will be fine ,1,1
Lost my student ID. Feeling frustrated and worried.,Frustrated,how much did you get ,0,1
Feeling hopeful about the future after a successful internship.,Hopeful,i hope so i think i will get the job ,1,1
Feeling apprehensive about meeting my professor's office hours.,Apprehensive,i am sure you will be fine ,1,1
Feeling guilty about procrastinating on an assignment.,Guilty,i feel so bad about myself ,1,1
